"unit","iccs","geo","time","values"
"Number","Intentional homicide","Austria",2010-01-01,56
"Number","Intentional homicide","Ostösterreich",2010-01-01,33
"Number","Intentional homicide","Burgenland (AT)",2010-01-01,5
"Number","Intentional homicide","Niederösterreich",2010-01-01,11
"Number","Intentional homicide","Wien",2010-01-01,17
"Number","Intentional homicide","Wien",2010-01-01,17
"Number","Intentional homicide","Südösterreich",2010-01-01,6
"Number","Intentional homicide","Kärnten",2010-01-01,3
"Number","Intentional homicide","Steiermark",2010-01-01,3
"Number","Intentional homicide","Westösterreich",2010-01-01,17
"Number","Intentional homicide","Oberösterreich",2010-01-01,10
"Number","Intentional homicide","Salzburg",2010-01-01,4
"Number","Intentional homicide","Tirol",2010-01-01,3
"Number","Intentional homicide","Vorarlberg",2010-01-01,0
"Number","Intentional homicide","Belgium",2010-01-01,184
"Number","Intentional homicide","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest",2010-01-01,30
"Number","Intentional homicide","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest",2010-01-01,30
"Number","Intentional homicide","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad",2010-01-01,30
"Number","Intentional homicide","Vlaams Gewest",2010-01-01,71
"Number","Intentional homicide","Prov. Antwerpen",2010-01-01,30
"Number","Intentional homicide","Arr. Antwerpen",2010-01-01,22
"Number","Intentional homicide","Arr. Mechelen",2010-01-01,7
"Number","Intentional homicide","Arr. Turnhout",2010-01-01,1
"Number","Intentional homicide","Prov. Limburg (BE)",2010-01-01,11
"Number","Intentional homicide","Arr. Hasselt",2010-01-01,6
"Number","Intentional homicide","Arr. Maaseik",2010-01-01,1
"Number","Intentional homicide","Arr. Tongeren",2010-01-01,4
"Number","Intentional homicide","Prov. Oost-Vlaanderen",2010-01-01,8
"Number","Intentional homicide","Arr. Aalst",2010-01-01,1
"Number","Intentional homicide","Arr. Gent",2010-01-01,5
"Number","Intentional homicide","Arr. Sint-Niklaas",2010-01-01,2
"Number","Intentional homicide","Prov. Vlaams-Brabant",2010-01-01,10
"Number","Intentional homicide","Arr. Halle-Vilvoorde",2010-01-01,7
"Number","Intentional homicide","Arr. Leuven",2010-01-01,3
"Number","Intentional homicide","Prov. West-Vlaanderen",2010-01-01,12
"Number","Intentional homicide","Arr. Ieper",2010-01-01,1
"Number","Intentional homicide","Arr. Kortrijk",2010-01-01,4
"Number","Intentional homicide","Arr. Oostende",2010-01-01,3
"Number","Intentional homicide","Arr. Roeselare",2010-01-01,3
"Number","Intentional homicide","Arr. Tielt",2010-01-01,1
"Number","Intentional homicide","Région wallonne",2010-01-01,83
"Number","Intentional homicide","Prov. Brabant Wallon",2010-01-01,10
"Number","Intentional homicide","Arr. Nivelles",2010-01-01,10
"Number","Intentional homicide","Prov. Hainaut",2010-01-01,30
"Number","Intentional homicide","Arr. Ath",2010-01-01,1
"Number","Intentional homicide","Arr. Charleroi",2010-01-01,9
"Number","Intentional homicide","Arr. Mons",2010-01-01,7
"Number","Intentional homicide","Arr. Mouscron",2010-01-01,2
"Number","Intentional homicide","Arr. Soignies",2010-01-01,3
"Number","Intentional homicide","Arr. Thuin",2010-01-01,4
"Number","Intentional homicide","Arr. Tournai",2010-01-01,4
"Number","Intentional homicide","Prov. Liège",2010-01-01,28
"Number","Intentional homicide","Arr. Huy",2010-01-01,2
"Number","Intentional homicide","Arr. Liège",2010-01-01,19
"Number","Intentional homicide","Arr. Waremme",2010-01-01,3
"Number","Intentional homicide","Arr. Verviers - communes francophones",2010-01-01,2
"Number","Intentional homicide","Bezirk Verviers - Deutschsprachige Gemeinschaft",2010-01-01,2
"Number","Intentional homicide","Prov. Luxembourg (BE)",2010-01-01,6
"Number","Intentional homicide","Arr. Arlon",2010-01-01,2
"Number","Intentional homicide","Arr. Marche-en-Famenne",2010-01-01,1
"Number","Intentional homicide","Arr. Virton",2010-01-01,3
"Number","Intentional homicide","Prov. Namur",2010-01-01,9
"Number","Intentional homicide","Arr. Dinant",2010-01-01,1
"Number","Intentional homicide","Arr. Namur",2010-01-01,5
"Number","Intentional homicide","Arr. Philippeville",2010-01-01,3
"Number","Intentional homicide","Bulgaria",2010-01-01,147
"Number","Intentional homicide","Severna i yugoiztochna Bulgaria",2010-01-01,93
"Number","Intentional homicide","Severozapaden",2010-01-01,28
"Number","Intentional homicide","Vidin",2010-01-01,3
"Number","Intentional homicide","Montana",2010-01-01,4
"Number","Intentional homicide","Vratsa",2010-01-01,3
