Symbol;przedstawiciel
1075;Anna
11(3);Anna
1228;Anna
127;Anna
130;Anna
14;Anna
1472;Anna
1476;Anna
1480;Anna
17;Anna
170;Anna
1705;Anna
171;Anna
1718;Anna
1820;Anna
1950;Anna
1960;Anna
2098;Anna
2105;Anna
2106;Anna
215;Anna
2287;Anna
250;Anna
2503;Anna
253;Anna
285;Anna
3025;Anna
3041;Anna
352;Anna
386;Anna
410;Anna
411;Anna
413;Anna
432;Anna
439;Anna
442;Anna
515;Anna
542;Anna
545;Anna
546;Anna
547;Anna
550;Anna
563;Anna
564;Anna
569;Anna
570;Anna
572;Anna
573;Anna
574;Anna
578;Anna
58;Anna
584;Anna
587;Anna
610;Anna
631;Anna
646;Anna
771;Anna
817;Anna
818;Anna
82;Anna
876;Anna
90;Anna
909;Anna
915;Anna
950/KRZELÓW;Anna
982;Anna
