unit,s_adj,indic,geo,time,values,name
PC_ACT,NSA,LM-UN-F-GT25,FI,2017-02,6.6,Finland
PC_ACT,NSA,LM-UN-F-GT25,IE,2017-02,5.1,Ireland
PC_ACT,NSA,LM-UN-F-GT25,NL,2017-02,5.3,Netherlands
PC_ACT,NSA,LM-UN-F-GT25,SE,2017-02,4.9,Sweden
PC_ACT,NSA,LM-UN-F-LE25,FI,2017-02,20.2,Finland
PC_ACT,NSA,LM-UN-F-LE25,IE,2017-02,11.5,Ireland
PC_ACT,NSA,LM-UN-F-LE25,NL,2017-02,10.2,Netherlands
PC_ACT,NSA,LM-UN-F-LE25,SE,2017-02,19.2,Sweden
PC_ACT,NSA,LM-UN-F-TOT,FI,2017-02,8.2,Finland
PC_ACT,NSA,LM-UN-F-TOT,IE,2017-02,5.7,Ireland
PC_ACT,NSA,LM-UN-F-TOT,NL,2017-02,6.1,Netherlands
PC_ACT,NSA,LM-UN-F-TOT,SE,2017-02,6.7,Sweden
PC_ACT,NSA,LM-UN-M-GT25,FI,2017-02,8.3,Finland
PC_ACT,NSA,LM-UN-M-GT25,IE,2017-02,6.3,Ireland
PC_ACT,NSA,LM-UN-M-GT25,NL,2017-02,4.3,Netherlands
PC_ACT,NSA,LM-UN-M-GT25,SE,2017-02,6.1,Sweden
PC_ACT,NSA,LM-UN-M-LE25,FI,2017-02,25.4,Finland
PC_ACT,NSA,LM-UN-M-LE25,IE,2017-02,16,Ireland
PC_ACT,NSA,LM-UN-M-LE25,NL,2017-02,10.3,Netherlands
PC_ACT,NSA,LM-UN-M-LE25,SE,2017-02,23.4,Sweden
PC_ACT,NSA,LM-UN-M-TOT,FI,2017-02,10.1,Finland
PC_ACT,NSA,LM-UN-M-TOT,IE,2017-02,7.2,Ireland
PC_ACT,NSA,LM-UN-M-TOT,NL,2017-02,5.2,Netherlands
PC_ACT,NSA,LM-UN-M-TOT,SE,2017-02,8,Sweden
PC_ACT,NSA,LM-UN-T-GT25,FI,2017-02,7.5,Finland
PC_ACT,NSA,LM-UN-T-GT25,IE,2017-02,5.8,Ireland
PC_ACT,NSA,LM-UN-T-GT25,NL,2017-02,4.8,Netherlands
PC_ACT,NSA,LM-UN-T-GT25,SE,2017-02,5.6,Sweden
PC_ACT,NSA,LM-UN-T-LE25,FI,2017-02,22.8,Finland
PC_ACT,NSA,LM-UN-T-LE25,IE,2017-02,13.9,Ireland
PC_ACT,NSA,LM-UN-T-LE25,NL,2017-02,10.3,Netherlands
PC_ACT,NSA,LM-UN-T-LE25,SE,2017-02,21.4,Sweden
PC_ACT,NSA,LM-UN-T-TOT,FI,2017-02,9.2,Finland
PC_ACT,NSA,LM-UN-T-TOT,IE,2017-02,6.5,Ireland
PC_ACT,NSA,LM-UN-T-TOT,NL,2017-02,5.6,Netherlands
PC_ACT,NSA,LM-UN-T-TOT,SE,2017-02,7.4,Sweden
PC_ACT,SA,LM-UN-F-GT25,FI,2017-02,7,Finland
PC_ACT,SA,LM-UN-F-GT25,IE,2017-02,5.2,Ireland
PC_ACT,SA,LM-UN-F-GT25,NL,2017-02,4.9,Netherlands
PC_ACT,SA,LM-UN-F-GT25,SE,2017-02,4.8,Sweden
PC_ACT,SA,LM-UN-F-LE25,FI,2017-02,19.4,Finland
PC_ACT,SA,LM-UN-F-LE25,IE,2017-02,12.6,Ireland
PC_ACT,SA,LM-UN-F-LE25,NL,2017-02,9.7,Netherlands
PC_ACT,SA,LM-UN-F-LE25,SE,2017-02,16.9,Sweden
PC_ACT,SA,LM-UN-F-TOT,FI,2017-02,8.6,Finland
PC_ACT,SA,LM-UN-F-TOT,IE,2017-02,5.9,Ireland
PC_ACT,SA,LM-UN-F-TOT,NL,2017-02,5.7,Netherlands
PC_ACT,SA,LM-UN-F-TOT,SE,2017-02,6.3,Sweden
PC_ACT,SA,LM-UN-M-GT25,FI,2017-02,7.3,Finland
PC_ACT,SA,LM-UN-M-GT25,IE,2017-02,6.2,Ireland
PC_ACT,SA,LM-UN-M-GT25,NL,2017-02,4,Netherlands
PC_ACT,SA,LM-UN-M-GT25,SE,2017-02,5.6,Sweden
PC_ACT,SA,LM-UN-M-LE25,FI,2017-02,21.1,Finland
PC_ACT,SA,LM-UN-M-LE25,IE,2017-02,16.2,Ireland
PC_ACT,SA,LM-UN-M-LE25,NL,2017-02,9.7,Netherlands
PC_ACT,SA,LM-UN-M-LE25,SE,2017-02,20.1,Sweden
PC_ACT,SA,LM-UN-M-TOT,FI,2017-02,8.9,Finland
PC_ACT,SA,LM-UN-M-TOT,IE,2017-02,7.1,Ireland
PC_ACT,SA,LM-UN-M-TOT,NL,2017-02,4.9,Netherlands
PC_ACT,SA,LM-UN-M-TOT,SE,2017-02,7.3,Sweden
PC_ACT,SA,LM-UN-T-GT25,FI,2017-02,7.2,Finland
PC_ACT,SA,LM-UN-T-GT25,IE,2017-02,5.8,Ireland
PC_ACT,SA,LM-UN-T-GT25,NL,2017-02,4.5,Netherlands
